Country, 0
Albania, 282
Belarus, 123
Belgium, 208
Bosnia and Herzegovina, 328
Bulgaria, 274
Croatia, 318
Cyprus, 256
Czech Republic, 209
Denmark, 251
Estonia, 184
Finland, 146
France, 243
Germany, 217
Greece, 229
Hungary, 227
Iceland, 644
Ireland, 387
Italy, 236
Latvia, 142
Luxembourg, 306
Macedonia, 253
Moldova, 135
Monaco, 1530
Montenegro, 184
Netherlands, 231
Norway, 244
Poland, 205
Portugal, 436
Romania, 237
Republic of Serbia, 225
Slovakia, 352
Slovenia, 211
Spain, 286
Swaziland, 946 
Sweden, 213
Switzerland, 252
Ukraine, 175
United Kingdom, 304
Kosovo, 0
Northern Cyprus, 260
